RealTime,TimeStamp,head0_head0_trans_x,head0_head0_trans_y,head0_head0_trans_z,head0_head0_ori_x,head0_head0_ori_y,head0_head0_ori_z,head0_head0_ori_w,head0_head1_trans_x,head0_head1_trans_y,head0_head1_trans_z,head0_head1_ori_x,head0_head1_ori_y,head0_head1_ori_z,head0_head1_ori_w,head0_head2_trans_x,head0_head2_trans_y,head0_head2_trans_z,head0_head2_ori_x,head0_head2_ori_y,head0_head2_ori_z,head0_head2_ori_w,head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head2_head0_trans_x,head2_head0_trans_y,head2_head0_trans_z,head2_head0_ori_x,head2_head0_ori_y,head2_head0_ori_z,head2_head0_ori_w,head2_head1_trans_x,head2_head1_trans_y,head2_head1_trans_z,head2_head1_ori_x,head2_head1_ori_y,head2_head1_ori_z,head2_head1_ori_w,head2_head2_trans_x,head2_head2_trans_y,head2_head2_trans_z,head2_head2_ori_x,head2_head2_ori_y,head2_head2_ori_z,head2_head2_ori_w,head0_emo,head1_emo,head2_emo,head0_AU28,head0_AU45,head0_AU26,head0_AU25,head0_AU01,head0_AU05,head0_AU20,head0_AU06,head0_AU23,head0_AU07,head0_AU02,head0_AU09,head0_AU17,head0_AU10,head0_AU04,head0_AU12,head0_AU14,head0_AU15,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head2_AU28,head2_AU45,head2_AU26,head2_AU25,head2_AU01,head2_AU05,head2_AU20,head2_AU06,head2_AU23,head2_AU07,head2_AU02,head2_AU09,head2_AU17,head2_AU10,head2_AU04,head2_AU12,head2_AU14,head2_AU15,head0_pose,head1_pose,head2_pose,Class_P0,ClassP1,ClassP2
00:01,1597420660,0,0,0,0,0,0,1,0.437455563402979,-0.147675539177991,-0.156965569519002,-0.151729890645742,-0.20536741778088,-0.105535385449887,0.961074683058808,-0.408800315852268,0.054007400876902,0.462957679118757,-0.285576681968099,0.369782291276328,0.027744128063382,0.883706557140164,-0.344575828236656,-0.017390689608401,0.344642840268182,0.151729890645742,0.20536741778088,0.105535385449887,0.961074683058808,0,0,0,0,0,0,1,-0.414306300611417,-0.288642770236733,1.09902636466378,-0.204686175495929,0.446060155195407,0.329755895059398,0.806470679678731,0.615037179703918,0.07266982835944,-0.028507435406892,0.285576681968099,-0.369782291276328,-0.027744128063382,0.883706557140164,1.19922603689823,-0.054804755466566,-0.14722995947146,0.204686175495929,-0.446060155195407,-0.329755895059398,0.806470679678731,0,0,0,0,0,0,1,neutual,neutual,sad,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
00:03,1597420686,0,0,0,0,0,0,1,-0.918670079068047,0.200939830028027,0.528745887776262,-0.315028358912498,0.202271759962959,0.024084561825582,0.926964509614071,-0.403262782404729,0.100987954453062,0.149808483813773,0.043504601893111,0.002011226833351,-0.075332929254774,0.996206933498579,1.06536965289818,-0.015263244310971,-0.169287564113882,0.315028358912498,-0.202271759962959,-0.024084561825582,0.926964509614071,0,0,0,0,0,0,1,0.628760736419779,0.048927329385683,-0.146610599148277,0.369446821057654,-0.176955974029549,-0.084390813425245,0.908335742044247,0.415404753568609,-0.051801297639114,-0.14148334430422,-0.043504601893111,-0.002011226833351,0.075332929254774,0.996206933498579,-0.52854020706645,0.053720288650964,0.370118893205933,-0.369446821057654,0.176955974029549,0.084390813425245,0.908335742044247,0,0,0,0,0,0,1,neutual,anger,supprise,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,armsCrossed,handsOnFace,handsOnFace,1,1,1
00:04,1597420687,0,0,0,0,0,0,1,-0.908759841377257,0.285433989869983,0.547687252717109,-0.378784810034093,0.212598317822101,0.02157572088027,0.900476824363151,-0.412534222699815,0.132028817151602,0.124727276145527,0.041125795256065,-0.044307252811376,-0.099503540157684,0.993199165227676,1.07929614018976,-0.016342419530436,-0.205258631383205,0.378784810034093,-0.212598317822101,-0.02157572088027,0.900476824363151,0,0,0,0,0,0,1,0.638509178048911,0.076207318154223,-0.187527671656864,0.433439906973614,-0.214247015220638,-0.119069259270306,0.867208495696723,0.419366006452987,-0.060221324332454,-0.153878301261073,-0.041125795256065,0.044307252811376,0.099503540157684,0.993199165227676,-0.481567396779279,0.091858109821991,0.456424236263982,-0.433439906973614,0.214247015220638,0.119069259270306,0.867208495696723,0,0,0,0,0,0,1,sad,happy,neutual,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,handsOnFace,handsOnFace,armsCrossed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
00:04,1597420687,0,0,0,0,0,0,1,-0.908759841377257,0.285433989869983,0.547687252717109,-0.378784810034093,0.212598317822101,0.02157572088027,0.900476824363151,-0.412534222699815,0.132028817151602,0.124727276145527,0.041125795256065,-0.044307252811376,-0.099503540157684,0.993199165227676,1.07929614018976,-0.016342419530436,-0.205258631383205,0.378784810034093,-0.212598317822101,-0.02157572088027,0.900476824363151,0,0,0,0,0,0,1,0.638509178048911,0.076207318154223,-0.187527671656864,0.433439906973614,-0.214247015220638,-0.119069259270306,0.867208495696723,0.419366006452987,-0.060221324332454,-0.153878301261073,-0.041125795256065,0.044307252811376,0.099503540157684,0.993199165227676,-0.481567396779279,0.091858109821991,0.456424236263982,-0.433439906973614,0.214247015220638,0.119069259270306,0.867208495696723,0,0,0,0,0,0,1,neutual,anger,supprise,handsOnFace,handsOnFace,armsCrossed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
00:06,1597420688,0,0,0,0,0,0,1,-0.33247824952825,0.108224150418473,0.345611198953016,-0.129217214898513,0.039879875820978,-0.102003000909707,0.985549539436648,-1.06127893193384,0.260624877647673,0.447874697400203,-0.098939973237237,0.369421443083145,-0.071329235603252,0.921222459145692,0.365433649832507,0.051901704146741,-0.324755007138715,0.129217214898513,-0.039879875820978,0.102003000909707,0.985549539436648,0,0,0,0,0,0,1,-0.748871679859005,-0.021758365958359,0.059598826041116,-0.01330993931968,0.326469686799757,0.067458856193689,0.942703395473472,1.11263209308933,-0.085730215591322,0.386691347652311,0.098939973237237,-0.369421443083145,0.071329235603252,0.921222459145692,0.621792814067279,-0.081332048208082,0.414237895125588,0.01330993931968,-0.326469686799757,-0.067458856193689,0.942703395473472,0,0,0,0,0,0,1,happy,neutual,supprise,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,armsCrossed,handsOnFace,handsOnFace,1,1,1
00:08,1597420690,0,0,0,0,0,0,1,-0.384353000517352,0.16767861987336,0.216866110210972,-0.061044763127399,0.01741077475372,-0.190857188261044,0.979563135028204,-0.803116210521573,0.256244014016159,0.788403772177923,-0.015019457882507,0.383181704074574,-0.137799353599734,0.91321275489062,0.421516378333371,0.01606190960099,-0.211991075717948,0.061044763127399,-0.01741077475372,0.190857188261044,0.979563135028204,0,0,0,0,0,0,1,-0.427482558751089,-0.146389029029118,0.552892998945448,-0.029699440068612,0.364996287150059,0.062439787827401,0.928437895888762,1.15271992652713,0.051373713671656,0.028890531959287,0.015019457882507,-0.383181704074574,0.137799353599734,0.91321275489062,0.700823237660837,0.09144761292881,-0.101714688140715,0.029699440068612,-0.364996287150059,-0.062439787827401,0.928437895888762,0,0,0,0,0,0,1,neutual,anger,supprise,armsCrossed,handsOnFace,handsOnFace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
00:08,1597420690,0,0,0,0,0,0,1,-0.384353000517352,0.16767861987336,0.216866110210972,-0.061044763127399,0.01741077475372,-0.190857188261044,0.979563135028204,-0.803116210521573,0.256244014016159,0.788403772177923,-0.015019457882507,0.383181704074574,-0.137799353599734,0.91321275489062,0.421516378333371,0.01606190960099,-0.211991075717948,0.061044763127399,-0.01741077475372,0.190857188261044,0.979563135028204,0,0,0,0,0,0,1,-0.427482558751089,-0.146389029029118,0.552892998945448,-0.029699440068612,0.364996287150059,0.062439787827401,0.928437895888762,1.15271992652713,0.051373713671656,0.028890531959287,0.015019457882507,-0.383181704074574,0.137799353599734,0.91321275489062,0.700823237660837,0.09144761292881,-0.101714688140715,0.029699440068612,-0.364996287150059,-0.062439787827401,0.928437895888762,0,0,0,0,0,0,1,happy,neutual,supprise,armsCrossed,handsOnFace,handsOnFace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
00:08,1597420690,0,0,0,0,0,0,1,0.968457057098225,-0.153346551604603,0.169623088060503,-0.03731983837858,-0.246060235454497,-0.074364114673272,0.96567674127543,0.642247271911464,-0.055238682025911,-0.048081238963173,-0.04024892674358,-0.173666394071968,0.008329069324334,0.983946458944906,-0.941233343171266,0.000362263360994,0.322917777156133,0.03731983837858,0.246060235454497,0.074364114673272,0.96567674127543,0,0,0,0,0,0,1,-0.400057324901211,0.051631549864093,-0.026860228614304,0.01281727080615,0.071100584541265,0.084635954461079,0.993789303453923,-0.585340303407054,0.052653070367472,0.26916362904027,0.04024892674358,0.173666394071968,-0.008329069324334,0.983946458944906,0.37776393977078,-0.116436073030288,0.084677026021453,-0.01281727080615,-0.071100584541265,-0.084635954461079,0.993789303453923,0,0,0,0,0,0,1,supprise,anger,supprise,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,handsOnFace,handsOnFace,armsCrossed,1,1,1
00:12,1597420693,0,0,0,0,0,0,1,1.06534801711891,-0.034013087024936,0.270835201839801,-0.034176085515152,-0.495713704057398,0.042667592564115,0.866763748280544,0.692682265529805,-0.005258928042584,0.023743687168282,-0.04405071616628,-0.217977102749798,0.196747415813629,0.954901027045579,-0.766168259864564,0.104013930673965,0.782075631908847,0.034176085515152,0.495713704057398,-0.042667592564115,0.866763748280544,0,0,0,0,0,0,1,-0.396669258223633,0.06861101120119,0.196740462058985,0.08268304734835,0.279578356008037,0.144177139207342,0.94562805006145,-0.580626938707145,0.255837522113207,0.27896175420754,0.04405071616628,0.217977102749798,-0.196747415813629,0.954901027045579,0.395623560508486,-0.20126947647356,0.061101365774973,-0.08268304734835,-0.279578356008037,-0.144177139207342,0.94562805006145,0,0,0,0,0,0,1,neutual,neutual,supprise,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,armsCrossed,handsOnFace,handsOnFace,1,1,0
00:13,1597420694,0,0,0,0,0,0,1,0.963563763904606,-0.072420910798796,0.173688396808404,-0.066511521156696,-0.405959561076741,-0.089201169576068,0.907092169335654,0.621915695428508,-0.01243802144252,-0.04230379544605,0.014802060939467,0.020400148290005,0.112558161501598,0.993325421612208,-0.768421933921566,-0.128958921697973,0.597298001503059,0.066511521156696,0.405959561076741,0.089201169576068,0.907092169335654,0,0,0,0,0,0,1,-0.391707532189011,-0.004820571372473,0.116258110004841,0.123368763115064,0.415588713539075,0.18605422300294,0.881731249060147,-0.604424231021907,0.152249010430853,0.01466408821827,-0.014802060939467,-0.020400148290005,-0.112558161501598,0.993325421612208,0.31122356832654,-0.127284093805595,0.232190927484353,-0.123368763115064,-0.415588713539075,-0.18605422300294,0.881731249060147,0,0,0,0,0,0,1,sad,happy,anger,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,armsCrossed,handsOnFace,handsOnFace,1,1,0
00:13,1597420694,0,0,0,0,0,0,1,0.808277183540826,-0.088092225721928,0.596667652414489,-0.117496808756245,-0.430433394488625,-0.124221661956992,0.886279059631751,0.512259710611714,-0.024279033223889,0.326941964998302,0.017793258008872,-0.01229515641619,0.071499039227119,0.997206155460209,-0.966970912311265,-0.116328651911494,0.261762167991336,0.117496808756245,0.430433394488625,0.124221661956992,0.886279059631751,0,0,0,0,0,0,1,-0.398455888035149,-0.007708441076999,0.074992662938099,0.165241231835791,0.412143289976291,0.178139253109961,0.878122799117717,-0.512264857765746,0.086259663803773,-0.316282337391664,-0.017793258008872,0.01229515641619,-0.071499039227119,0.997206155460209,0.291130075466988,-0.09636397892711,0.265344449710533,-0.165241231835791,-0.412143289976291,-0.178139253109961,0.878122799117717,0,0,0,0,0,0,1,sad,happy,neutual,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,armsCrossed,handsOnFace,handsOnFace,1,1,0
00:13,1597420694,0,0,0,0,0,0,1,0.690933317628791,-0.120607185429713,0.664184255906588,-0.219060710712957,-0.478430582144686,-0.275180639761883,0.804606859646916,0.514296721538089,-0.046311770163374,0.278715791412779,0.100215724149747,-0.037088138960688,0.031290473309988,0.993781759171304,-0.889545314738071,-0.300773992593234,0.226538753391257,0.219060710712957,0.478430582144686,0.275180639761883,0.804606859646916,0,0,0,0,0,0,1,-0.429593248234232,-0.024944938399502,-0.011559586806197,0.323509054721067,0.466337128309687,0.2425752084145,0.786783860114083,-0.531632359008988,0.026229843605889,-0.246996802372608,-0.100215724149747,0.037088138960688,-0.031290473309988,0.993781759171304,0.202568811601636,-0.009071099368598,0.379723352784456,-0.323509054721067,-0.466337128309687,-0.2425752084145,0.786783860114083,0,0,0,0,0,0,1,sad,happy,neutual,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,handsOnFace,handsOnFace,armsCrossed,1,1,0
00:19,1597420699,0,0,0,0,0,0,1,1.09654886544718,0.035318342403979,0.235199759362184,-0.070582912410255,-0.500471702020556,0.116044144385392,0.85503209560004,0.462197819900906,0.086762575155057,0.212597224787799,-0.015780577358721,-0.223730368405868,0.171772236900922,0.959265340904827,-0.724650714646579,0.161824746125405,0.841237077007036,0.070582912410255,0.500471702020556,-0.116044144385392,0.85503209560004,0,0,0,0,0,0,1,-0.304622747933758,0.135965547773263,0.542473025963675,0.114219385993468,0.278495570950338,0.02765984137232,0.953220374309938,-0.507958585238225,0.090231383508242,0.013730341187703,0.015780577358721,0.223730368405868,-0.171772236900922,0.959265340904827,0.525674375792844,-0.255375688066532,-0.252998698055015,-0.114219385993468,-0.278495570950338,-0.02765984137232,0.953220374309938,0,0,0,0,0,0,1,neutual,happy,neutual,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,armsCrossed,armsCrossed,armsCrossed,1,1,1
