head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
-0.344575828,-0.01739069,0.34464284,0.151729891,0.205367418,0.105535385,0.961074683,0,0,0,0,0,0,1,-0.414306301,-0.28864277,1.099026365,-0.204686175,0.446060155,0.329755895,0.80647068,neutual,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
1.065369653,-0.015263244,-0.169287564,0.315028359,-0.20227176,-0.024084562,0.92696451,0,0,0,0,0,0,1,0.628760736,0.048927329,-0.146610599,0.369446821,-0.176955974,-0.084390813,0.908335742,anger,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,handsOnFace,TRUE,TRUE
1.07929614,-0.01634242,-0.205258631,0.37878481,-0.212598318,-0.021575721,0.900476824,0,0,0,0,0,0,1,0.638509178,0.076207318,-0.187527672,0.433439907,-0.214247015,-0.119069259,0.867208496,happy,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
1.07929614,-0.01634242,-0.205258631,0.37878481,-0.212598318,-0.021575721,0.900476824,0,0,0,0,0,0,1,0.638509178,0.076207318,-0.187527672,0.433439907,-0.214247015,-0.119069259,0.867208496,anger,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
0.36543365,0.051901704,-0.324755007,0.129217215,-0.039879876,0.102003001,0.985549539,0,0,0,0,0,0,1,-0.74887168,-0.021758366,0.059598826,-0.013309939,0.326469687,0.067458856,0.942703395,neutual,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,handsOnFace,TRUE,TRUE
0.421516378,0.01606191,-0.211991076,0.061044763,-0.017410775,0.190857188,0.979563135,0,0,0,0,0,0,1,-0.427482559,-0.146389029,0.552892999,-0.02969944,0.364996287,0.062439788,0.928437896,anger,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
0.421516378,0.01606191,-0.211991076,0.061044763,-0.017410775,0.190857188,0.979563135,0,0,0,0,0,0,1,-0.427482559,-0.146389029,0.552892999,-0.02969944,0.364996287,0.062439788,0.928437896,neutual,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
-0.941233343,0.000362263,0.322917777,0.037319838,0.246060235,0.074364115,0.965676741,0,0,0,0,0,0,1,-0.400057325,0.05163155,-0.026860229,0.012817271,0.071100585,0.084635954,0.993789303,anger,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,handsOnFace,TRUE,TRUE
-0.76616826,0.104013931,0.782075632,0.034176086,0.495713704,-0.042667593,0.866763748,0,0,0,0,0,0,1,-0.396669258,0.068611011,0.196740462,0.082683047,0.279578356,0.144177139,0.94562805,neutual,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,handsOnFace,TRUE,TRUE
-0.768421934,-0.128958922,0.597298002,0.066511521,0.405959561,0.08920117,0.907092169,0,0,0,0,0,0,1,-0.391707532,-0.004820571,0.11625811,0.123368763,0.415588714,0.186054223,0.881731249,happy,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,handsOnFace,TRUE,TRUE
