head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
-0.344575828,-0.01739069,,,,,0.961074683,0,0,0,1.099026365,,,,,TRUE,TRUE
1.065369653,-0.015263244,,,,,0.92696451,0,0,0,-0.146610599,1,,0,0,TRUE,TRUE
1.07929614,-0.01634242,,,,,0.900476824,0,0,0,-0.187527672,,,,,TRUE,TRUE
1.07929614,-0.01634242,,,,,0.900476824,0,0,0,-0.187527672,,,,,TRUE,TRUE
0.36543365,0.051901704,,,,,0.985549539,0,0,0,0.059598826,0,,0,0,TRUE,TRUE
0.421516378,0.01606191,,,,,0.979563135,0,0,0,0.552892999,,,,,TRUE,TRUE
0.421516378,0.01606191,,,,,0.979563135,0,0,0,0.552892999,,,,,TRUE,TRUE
-0.941233343,0.000362263,,,,,0.965676741,0,0,0,-0.026860229,0,,1,1,TRUE,TRUE
-0.76616826,0.104013931,,,,,0.866763748,0,0,0,0.196740462,1,,0,1,TRUE,TRUE
-0.768421934,-0.128958922,,,,,0.907092169,0,0,0,0.11625811,1,,0,0,TRUE,TRUE
-0.966970912,-0.116328652,,,,,0.88627906,0,0,0,0.074992663,1,,0,1,TRUE,TRUE
-0.889545315,-0.300773993,,,,,0.80460686,0,0,0,-0.011559587,1,,0,0,TRUE,TRUE
-0.724650715,0.161824746,,,,,0.855032096,0,0,0,0.542473026,1,,0,1,TRUE,TRUE
-1.007430593,0.136221634,,,,,0.93349043,0,0,0,0.181613889,0,,0,1,TRUE,TRUE
-0.800822357,-0.176546555,,,,,0.961255455,0,0,0,0.072296763,0,,0,0,TRUE,TRUE
-0.71441482,-0.169057313,,,,,0.853049865,0,0,0,0.17216005,0,,0,0,TRUE,TRUE
-0.729266848,-0.005000576,,,,,0.859390201,0,0,0,0.139791204,1,,0,0,TRUE,TRUE
-0.886546515,-0.148323847,,,,,0.926451755,0,0,0,0.070426469,0,,0,1,TRUE,TRUE
-0.876584455,-0.229960871,,,,,0.943953345,0,0,0,0.207932908,0,,0,1,TRUE,TRUE
-0.876584455,-0.229960871,,,,,0.943953345,0,0,0,0.207932908,,,,,TRUE,TRUE
-0.876584455,-0.229960871,,,,,0.943953345,0,0,0,0.207932908,,,,,TRUE,TRUE
